id	Area	Population	Per_capita_personal_income
10001	Kent, DE	0.014	0.0307
10003	New Castle, DE	0.0067	0.036
10005	Sussex, DE	0.0151	0.0278
1001	Autauga, AL	0.0022	0.0178
1003	Baldwin, AL	0.0212	0.0114
1005	Barbour, AL	-0.0041	0.0276
1007	Bibb, AL	-0.0062	0.0476
1009	Blount, AL	0.0014	0.0518
1011	Bullock, AL	-0.0118	0.0288
1013	Butler, AL	-0.0141	0.0407
1015	Calhoun, AL	-0.0044	0.0149
1017	Chambers, AL	0.0017	0.0358
1019	Cherokee, AL	-0.0028	0.0353
1021	Chilton, AL	1e-04	0.0403
1023	Choctaw, AL	3e-04	0.0493
1025	Clarke, AL	-0.0171	0.0415
1027	Clay, AL	-0.0162	0.0571
1029	Cleburne, AL	-0.007	0.0319
1031	Coffee, AL	0.0152	0.0251
1033	Colbert, AL	5e-04	0.0304
1035	Conecuh, AL	-0.0091	0.0467
1037	Coosa, AL	-0.0129	0.0436
1039	Covington, AL	-0.0036	0.0522
1041	Crenshaw, AL	0.0089	0.0415
1043	Cullman, AL	-5e-04	0.0513
1045	Dale, AL	0.006	0.0267
1047	Dallas, AL	-0.0075	0.0248
1049	DeKalb, AL	-0.0054	0.0463
1051	Elmore, AL	0.006	0.0178
1053	Escambia, AL	-0.0042	0.0331
1055	Etowah, AL	9e-04	0.0272
1057	Fayette, AL	-0.0035	0.0457
1059	Franklin, AL	-8e-04	0.0348
1061	Geneva, AL	0.0048	0.044
1063	Greene, AL	-0.005	0.0397
1065	Hale, AL	0.0011	0.0272
1067	Henry, AL	-0.0078	0.0644
1069	Houston, AL	0.0095	0.0235
1071	Jackson, AL	-0.004	0.0562
1073	Jefferson, AL	0.0016	0.0376
1075	Lamar, AL	-0.0038	0.0518
1077	Lauderdale, AL	-0.0013	0.0322
1079	Lawrence, AL	-0.0074	0.0562
1081	Lee, AL	0.0256	0.0197
1083	Limestone, AL	0.0247	0.0151
1085	Lowndes, AL	-0.0229	0.0651
1087	Macon, AL	-0.032	0.0539
1089	Madison, AL	0.01	0.0157
1091	Marengo, AL	-0.0144	0.0486
1093	Marion, AL	-0.0066	0.0461
1095	Marshall, AL	0.0072	0.0194
1097	Mobile, AL	0.0019	0.0059
1099	Monroe, AL	-0.0078	0.0302
11001	District of Columbia, DC	0.0215	0.0039
1101	Montgomery, AL	-0.0076	0.0248
1103	Morgan, AL	0.0031	0.0223
1105	Perry, AL	-0.0312	0.0389
1107	Pickens, AL	0.0018	0.043
1109	Pike, AL	0.0088	0.006
1111	Randolph, AL	-0.0073	0.0475
1113	Russell, AL	0.0506	0.0074
1115	St. Clair, AL	0.0105	0.037
1117	Shelby, AL	0.0142	0.037
1119	Sumter, AL	-0.0085	0.0491
1121	Talladega, AL	-1e-04	0.0433
1123	Tallapoosa, AL	-0.0079	0.0456
1125	Tuscaloosa, AL	0.009	0.0235
1127	Walker, AL	-0.0067	0.0448
1129	Washington, AL	-0.0133	0.0409
1131	Wilcox, AL	-0.0069	0.0361
1133	Winston, AL	-0.0071	0.0488
12001	Alachua, FL	0.008	0.0315
12003	Baker, FL	0.0014	0.0281
12005	Bay, FL	0.0122	0.0049
12007	Bradford, FL	-0.05	0.0431
12009	Brevard, FL	0.0055	0.0191
12011	Broward, FL	0.0169	0.0274
12013	Calhoun, FL	-0.004	0.0164
12015	Charlotte, FL	0.0188	0.0222
12017	Citrus, FL	-0.0035	0.0351
12019	Clay, FL	0.0107	0.0289
12021	Collier, FL	0.015	0.0237
12023	Columbia, FL	0.0087	0.0182
12027	DeSoto, FL	0.004	-0.0099
12029	Dixie, FL	-0.0139	0.0485
12031	Duval, FL	0.0093	0.0278
12033	Escambia, FL	0.0104	0.0221
12035	Flagler, FL	0.0111	0.0355
12037	Franklin, FL	0.0159	0.0074
12039	Gadsden, FL	-0.0153	0.0238
12041	Gilchrist, FL	-0.0094	0.0413
12043	Glades, FL	-0.0017	0.0583
12045	Gulf, FL	0.0029	0.0125
12047	Hamilton, FL	0.0104	0.0151
12049	Hardee, FL	0.0308	-0.0226
12051	Hendry, FL	-0.0323	0.0515
12053	Hernando, FL	0.002	0.0314
